"name"|"anio"|"p_t1"|"p_t2"|"p_t3"|"p_t4"|"p_t5"|"transp_gral"|"p_c1"|"p_c2"|"p_c3"|"p_c4"|"p_c5"|"comp_gral"|"p_i1"|"p_i2"|"p_i3"|"p_i4"|"p_i5"|"irreg_gral"
"Secretaría de Bienestar"|"2021"|1.33|0|0|2.67|14.67|3.7340000000000004|91.59322033898304|0|48|25.333333333333336|64.36742399870835|45.858795534204944|0.1352265043948614|0|85.59837728194725|0.676132521974307|1.8931710615280595|17.660581473968897
"Secretaría de Bienestar"|"2022"|0.3|0|0|2.06|34.02|7.276000000000001|88.35800807537012|0|49.48453608247423|11.34020618556701|13.432648386233929|32.52307974592905|0.13614703880190604|0|91.0142954390742|0.6126616746085772|2.1783526208304966|18.788291354663038
"Secretaría de Bienestar"|"2023"|84.21|NA|NA|NA|NA|84.21|100|0|NA|NA|100|66.66666666666667|0|0|84.21052631578947|0|0|16.842105263157894
"Secretaría de Comunicaciones y Transportes"|"2016"|NA|0|0|0|0|0|0|NA|100|0|100|50|0|0|100|0|0|20
"Secretaría de Comunicaciones y Transportes"|"2017"|0|0|0|1.83|17.16|3.7980000000000005|6.915739268680444|0|85.88850174216029|22.64808362369338|25.01485184043968|28.09343529499476|0|0.15885623510722796|68.06989674344717|2.5416997617156474|11.834789515488483|16.521048451151707
"Secretaría de Comunicaciones y Transportes"|"2018"|8.15|0|0|6.75|15.45|6.07|13.774925509970204|0|86.63923182441701|11.714677640603567|35.50250284077141|29.52626756315244|0|0.22899015342340281|67.78108541332722|1.877719258071903|10.899931302953973|16.1575452255553
"Secretaría de Comunicaciones y Transportes"|"2019"|0|0|0|1.74|7.82|1.9120000000000001|6.714674970805761|0|81.4067148321292|10.752231194220146|20.51027787603178|23.876779774637377|0.01904761904761905|0.1523809523809524|67.48571428571428|0.9333333333333335|15.39047619047619|16.796190476190475
"Secretaría de Comunicaciones y Transportes"|"2020"|6.4|0|0|0.11|5.07|2.316|8.020532563362208|0|50.48508803449515|13.762127200862379|18.67430079834784|18.188409719413517|0|0.03096934035305048|69.89780117683493|0.5264787860018582|30.226076184577266|20.136265097553423
"Secretaría de Comunicaciones y Transportes"|"2021"|1.72|0|0|0|5.32|1.408|13.691643781875246|0|32.87410926365796|14.86935866983373|16.88613884578702|15.664250112230793|0|0|67.73049645390071|0.6304176516942475|21.98581560283688|18.069345941686368
"Secretaría de Comunicaciones y Transportes"|"2022"|NA|0|0|0|7.02|1.755|0|NA|7.017543859649122|0|0|1.7543859649122806|0|0|68.42105263157895|0|43.859649122807014|22.45614035087719
"Secretaría de Cultura"|"2017"|0|0|0|0|33.33|6.6659999999999995|23.809523809523807|0|25|8.333333333333332|78.0202822784077|27.032627884252967|0|0|66.66666666666666|38.095238095238095|61.904761904761905|33.33333333333333
"Secretaría de Cultura"|"2018"|0|0|0|0|32.26|6.452|95.68832768709578|0|19.35483870967742|22.58064516129032|68.62937766480555|41.25063784457381|0.21558361564521095|0|94.02525408068986|1.1395133969818294|2.864182322143517|19.648906683092086
"Secretaría de Cultura"|"2019"|0|0|0|0|3.23|0.646|97.6978417266187|0|6.451612903225806|9.67741935483871|55.55179928344124|33.87573465362489|0|0.047961630695443645|95.68345323741008|0.4796163069544364|1.2949640287769784|19.501199040767386
"Secretaría de Cultura"|"2020"|0|0|0|0|7.69|1.538|98.48139711465453|0|15.384615384615385|30.76923076923077|46.80522321480057|38.28809329666025|0|0|94.60895975702354|0.5315110098709187|0.8352315869400152|19.195140470766894
"Secretaría de Cultura"|"2021"|0|0|0|0|4.76|0.952|97.94816414686825|0|9.523809523809524|19.047619047619047|44.12676527866779|34.12927159939292|0|0|96.46739130434783|0.05434782608695652|0.5434782608695652|19.413043478260867
"Secretaría de Cultura"|"2022"|0.05|0|0|0|13.51|2.712|92.4860853432282|0|13.513513513513514|16.216216216216218|55.47543960174166|35.53825093493992|0|0|96.47404505386875|0.0979431929480901|0.7345739471106758|19.461312438785505
"Secretaría de Cultura"|"2023"|0|NA|NA|NA|NA|0|100|0|NA|NA|100|66.66666666666667|0|0|100|0|0|20
"Secretaría de Desarrollo Agrario, Territorial y Urbano"|"2017"|0|NA|NA|NA|NA|0|99.77064220183486|0|NA|NA|100|66.59021406727828|0|0|97.70642201834863|0|0.45871559633027525|19.633027522935784
"Secretaría de Desarrollo Agrario, Territorial y Urbano"|"2018"|0|0|0|0|12.5|2.5|99.64476021314387|0|0|0|98.9146012073099|39.71187228409075|0|0|97.97585227272727|0.14204545454545456|0.2130681818181818|19.66619318181818
"Secretaría de Desarrollo Agrario, Territorial y Urbano"|"2019"|0.13|0|0|0|0|0.026000000000000002|91.22068550811787|0|8.21917808219178|8.21917808219178|18.862922856582745|25.304392905816833|0|0|95.00901984365603|0.1803968731208659|0.06013229104028864|19.049909801563437
"Secretaría de Desarrollo Agrario, Territorial y Urbano"|"2020"|0.29|0|0|0|0|0.057999999999999996|96.32422243166823|0|8.571428571428571|22.857142857142858|79.1130904585015|41.373176863748235|0|0|97.07822808671065|0|0.6597549481621112|19.547596606974555
"Secretaría de Desarrollo Agrario, Territorial y Urbano"|"2021"|0.23|0|0|0|12|2.446|97.85067873303167|0|12|28.000000000000004|74.97754993431668|42.56564573346967|0|0|97.67441860465115|0.05672149744753262|0.9075439591605219|19.72773681225184
"Secretaría de Desarrollo Agrario, Territorial y Urbano"|"2022"|0.09|0|0|0|0|0.018|96.18320610687023|0|24.242424242424242|24.242424242424242|30.080263732344985|34.94966366481274|0|0|97.87750151607034|0|54.578532443905395|30.491206791995147
"Secretaría de Economía"|"2017"|0|0|0|0|0|0|35|0|0|0|40.565376225838854|15.113075245167773|0|0|75|0|65|28
"Secretaría de Economía"|"2018"|0|0|0|3.23|0|0.646|70.61611374407583|0|38.70967741935484|3.225806451612903|63.63530386357989|35.23738029572469|0|0|71.36363636363636|0.9090909090909091|28.636363636363637|20.18181818181818
"Secretaría de Economía"|"2019"|0|0|0|4|0|0.8|74.01960784313727|0|4|8|54.81809665795675|28.167540900218803|0|0|66.66666666666666|0.42194092827004215|37.130801687763714|20.843881856540083
"Secretaría de Economía"|"2020"|0|0|0|0|5.26|1.052|82.53968253968253|0|0|15.789473684210526|97.87989591339677|39.24181042745796|0|0|72.22222222222221|0|37.301587301587304|21.904761904761905
"Secretaría de Economía"|"2021"|0.75|0|0|0|9.52|2.054|73.62637362637363|0|0|0|91.9033926602748|33.10595325732969|0|0|83.2|2|45.2|26.080000000000002
"Secretaría de Economía"|"2022"|1.79|0|0|0|10.34|2.4259999999999997|57.73195876288659|0|17.24137931034483|3.4482758620689653|63.90520617451207|28.46536402196249|0|0|79.28571428571428|0|45|24.857142857142854
"Secretaría de Educación Pública"|"2017"|0|0|0|0|0|0|38.46153846153847|0|42.857142857142854|28.57142857142857|29.992417912424784|27.976505560506933|0|0|23.076923076923077|0|15.384615384615385|7.692307692307692
"Secretaría de Educación Pública"|"2018"|0|0|0|0|2.33|0.466|41.221374045801525|0|18.6046511627907|9.30232558139535|26.207445210336154|19.067159200064744|0|0|64.8854961832061|2.2900763358778624|33.587786259541986|20.152671755725187
