"name"|"anio"|"n_prov"
"Banco Nacional del Ejército, Fuerza Aérea y Armada, S.N.C."|"2018"|251
"Banco Nacional del Ejército, Fuerza Aérea y Armada, S.N.C."|"2019"|232
"Banco Nacional del Ejército, Fuerza Aérea y Armada, S.N.C."|"2020"|140
"Banco Nacional del Ejército, Fuerza Aérea y Armada, S.N.C."|"2021"|164
"Banco Nacional del Ejército, Fuerza Aérea y Armada, S.N.C."|"2022"|128
"Banco Nacional del Ejército, Fuerza Aérea y Armada, S.N.C."|"2023"|2
"Banco del Bienestar, S.N.C., I.B.D."|"2017"|45
"Banco del Bienestar, S.N.C., I.B.D."|"2018"|74
"Banco del Bienestar, S.N.C., I.B.D."|"2019"|129
"Banco del Bienestar, S.N.C., I.B.D."|"2020"|96
"Banco del Bienestar, S.N.C., I.B.D."|"2021"|86
"Banco del Bienestar, S.N.C., I.B.D."|"2022"|78
"Banco del Bienestar, S.N.C., I.B.D."|"2023"|1
"CIATEC, A.C. ""Centro de Innovación Aplicada en Tecnologías Competitivas"""|"2017"|16
"CIATEC, A.C. ""Centro de Innovación Aplicada en Tecnologías Competitivas"""|"2018"|41
"CIATEC, A.C. ""Centro de Innovación Aplicada en Tecnologías Competitivas"""|"2019"|40
"CIATEC, A.C. ""Centro de Innovación Aplicada en Tecnologías Competitivas"""|"2020"|40
"CIATEC, A.C. ""Centro de Innovación Aplicada en Tecnologías Competitivas"""|"2021"|37
"CIATEC, A.C. ""Centro de Innovación Aplicada en Tecnologías Competitivas"""|"2022"|37
"CIATEQ, A.C. Centro de Tecnología Avanzada"|"2017"|26
"CIATEQ, A.C. Centro de Tecnología Avanzada"|"2018"|39
"CIATEQ, A.C. Centro de Tecnología Avanzada"|"2019"|60
"CIATEQ, A.C. Centro de Tecnología Avanzada"|"2020"|71
"CIATEQ, A.C. Centro de Tecnología Avanzada"|"2021"|27
"CIATEQ, A.C. Centro de Tecnología Avanzada"|"2022"|12
"Caminos y Puentes Federales de Ingresos y Servicios Conexos"|"2017"|232
"Caminos y Puentes Federales de Ingresos y Servicios Conexos"|"2018"|487
"Caminos y Puentes Federales de Ingresos y Servicios Conexos"|"2019"|431
"Caminos y Puentes Federales de Ingresos y Servicios Conexos"|"2020"|331
"Caminos y Puentes Federales de Ingresos y Servicios Conexos"|"2021"|328
"Caminos y Puentes Federales de Ingresos y Servicios Conexos"|"2022"|438
"Caminos y Puentes Federales de Ingresos y Servicios Conexos"|"2023"|4
"Casa de Moneda de México"|"2017"|18
"Casa de Moneda de México"|"2018"|270
"Casa de Moneda de México"|"2019"|127
"Casa de Moneda de México"|"2020"|119
"Casa de Moneda de México"|"2021"|194
"Casa de Moneda de México"|"2022"|174
"Casa de Moneda de México"|"2023"|3
"Centro Federal de Conciliación y Registro Laboral"|"2021"|53
"Centro Federal de Conciliación y Registro Laboral"|"2022"|36
"Centro Nacional de Control de Energía"|"2017"|27
"Centro Nacional de Control de Energía"|"2018"|141
"Centro Nacional de Control de Energía"|"2019"|150
"Centro Nacional de Control de Energía"|"2020"|96
"Centro Nacional de Control de Energía"|"2021"|148
"Centro Nacional de Control de Energía"|"2022"|136
"Centro Nacional de Control de Energía"|"2023"|1
"Centro Nacional de Control del Gas Natural"|"2017"|19
"Centro Nacional de Control del Gas Natural"|"2018"|108
"Centro Nacional de Control del Gas Natural"|"2019"|81
"Centro Nacional de Control del Gas Natural"|"2020"|86
"Centro Nacional de Control del Gas Natural"|"2021"|65
"Centro Nacional de Control del Gas Natural"|"2022"|97
"Centro Nacional de Equidad de Género y Salud Reproductiva"|"2018"|112
"Centro Nacional de Equidad de Género y Salud Reproductiva"|"2019"|151
"Centro Nacional de Equidad de Género y Salud Reproductiva"|"2020"|107
"Centro Nacional de Equidad de Género y Salud Reproductiva"|"2021"|116
"Centro Nacional de Equidad de Género y Salud Reproductiva"|"2022"|27
"Centro Nacional de Excelencia Tecnológica en Salud"|"2018"|5
"Centro Nacional de Excelencia Tecnológica en Salud"|"2019"|4
"Centro Nacional de Excelencia Tecnológica en Salud"|"2020"|1
"Centro Nacional de Excelencia Tecnológica en Salud"|"2021"|1
"Centro Nacional de Inteligencia"|"2018"|133
"Centro Nacional de Inteligencia"|"2019"|109
"Centro Nacional de Inteligencia"|"2020"|35
"Centro Nacional de Inteligencia"|"2021"|27
"Centro Nacional de Inteligencia"|"2022"|22
"Centro Nacional de Metrología"|"2017"|10
"Centro Nacional de Metrología"|"2018"|220
"Centro Nacional de Metrología"|"2019"|191
"Centro Nacional de Metrología"|"2020"|157
"Centro Nacional de Metrología"|"2021"|179
"Centro Nacional de Metrología"|"2022"|198
"Centro Nacional de Metrología"|"2023"|1
"Centro Nacional de Programas Preventivos y Control de Enfermedades"|"2017"|1
"Centro Nacional de Programas Preventivos y Control de Enfermedades"|"2018"|53
"Centro Nacional de Programas Preventivos y Control de Enfermedades"|"2019"|35
"Centro Nacional de Programas Preventivos y Control de Enfermedades"|"2020"|35
"Centro Nacional de Programas Preventivos y Control de Enfermedades"|"2021"|38
"Centro Nacional de Programas Preventivos y Control de Enfermedades"|"2022"|22
"Centro Nacional de la Transfusión Sanguínea"|"2017"|3
"Centro Nacional de la Transfusión Sanguínea"|"2018"|30
"Centro Nacional de la Transfusión Sanguínea"|"2019"|24
"Centro Nacional de la Transfusión Sanguínea"|"2020"|15
"Centro Nacional de la Transfusión Sanguínea"|"2021"|8
"Centro Nacional de la Transfusión Sanguínea"|"2022"|16
"Centro Nacional para la Prevención y el Control del VIH/SIDA"|"2017"|1
"Centro Nacional para la Prevención y el Control del VIH/SIDA"|"2018"|51
"Centro Nacional para la Prevención y el Control del VIH/SIDA"|"2019"|75
"Centro Nacional para la Prevención y el Control del VIH/SIDA"|"2020"|57
"Centro Nacional para la Prevención y el Control del VIH/SIDA"|"2021"|48
"Centro Nacional para la Prevención y el Control del VIH/SIDA"|"2022"|10
"Centro Nacional para la Salud de la Infancia y la Adolescencia"|"2019"|8
"Centro Nacional para la Salud de la Infancia y la Adolescencia"|"2020"|9
"Centro Nacional para la Salud de la Infancia y la Adolescencia"|"2021"|2
"Centro Nacional para la Salud de la Infancia y la Adolescencia"|"2022"|2
"Centro Regional de Alta Especialidad de Chiapas"|"2017"|12
"Centro Regional de Alta Especialidad de Chiapas"|"2018"|129
"Centro Regional de Alta Especialidad de Chiapas"|"2019"|139
"Centro Regional de Alta Especialidad de Chiapas"|"2020"|108
"Centro Regional de Alta Especialidad de Chiapas"|"2021"|136
"Centro Regional de Alta Especialidad de Chiapas"|"2022"|167
"Centro de Capacitación Cinematográfica, A.C."|"2018"|200
"Centro de Capacitación Cinematográfica, A.C."|"2019"|206
"Centro de Capacitación Cinematográfica, A.C."|"2020"|175
"Centro de Capacitación Cinematográfica, A.C."|"2021"|198
"Centro de Capacitación Cinematográfica, A.C."|"2022"|242
"Centro de Capacitación Cinematográfica, A.C."|"2023"|2
"Centro de Enseñanza Técnica Industrial"|"2017"|55
"Centro de Enseñanza Técnica Industrial"|"2018"|84
"Centro de Enseñanza Técnica Industrial"|"2019"|120
"Centro de Enseñanza Técnica Industrial"|"2020"|118
"Centro de Enseñanza Técnica Industrial"|"2021"|95
"Centro de Enseñanza Técnica Industrial"|"2022"|102
"Centro de Enseñanza Técnica Industrial"|"2023"|10
"Centro de Ingeniería y Desarrollo Industrial"|"2017"|7
"Centro de Ingeniería y Desarrollo Industrial"|"2018"|10
"Centro de Ingeniería y Desarrollo Industrial"|"2019"|13
"Centro de Ingeniería y Desarrollo Industrial"|"2020"|12
"Centro de Ingeniería y Desarrollo Industrial"|"2021"|13
"Centro de Ingeniería y Desarrollo Industrial"|"2022"|75
"Centro de Ingeniería y Desarrollo Industrial"|"2023"|37
"Centro de Investigaciones Biológicas del Noroeste, S.C."|"2017"|18
"Centro de Investigaciones Biológicas del Noroeste, S.C."|"2018"|237
"Centro de Investigaciones Biológicas del Noroeste, S.C."|"2019"|147
"Centro de Investigaciones Biológicas del Noroeste, S.C."|"2020"|111
"Centro de Investigaciones Biológicas del Noroeste, S.C."|"2021"|127
"Centro de Investigaciones Biológicas del Noroeste, S.C."|"2022"|154
"Centro de Investigaciones en Óptica, A.C."|"2017"|1
"Centro de Investigaciones en Óptica, A.C."|"2018"|111
"Centro de Investigaciones en Óptica, A.C."|"2019"|82
"Centro de Investigaciones en Óptica, A.C."|"2020"|64
"Centro de Investigaciones en Óptica, A.C."|"2021"|58
"Centro de Investigaciones en Óptica, A.C."|"2022"|42
"Centro de Investigaciones en Óptica, A.C."|"2023"|2
"Centro de Investigaciones y Estudios Superiores en Antropología Social"|"2017"|15
"Centro de Investigaciones y Estudios Superiores en Antropología Social"|"2018"|91
"Centro de Investigaciones y Estudios Superiores en Antropología Social"|"2019"|148
"Centro de Investigaciones y Estudios Superiores en Antropología Social"|"2020"|126
"Centro de Investigaciones y Estudios Superiores en Antropología Social"|"2021"|108
